Greenland_temperature_(ºC),Upper_band,Lower_band,"Age_(B.P.,_radio-carbon_calibrated)","NH_temperature_anomaly_(ºC,_full)","NH_temperature_anomaly_(ºC,_no_volc)",VII_(ºC),"Age_(B.P.,_radio-carbon_calibrated).1",Volcanic_forcing_(W/m2),Greenland temperature (ºC)_scaled,"NH temperature anomaly (ºC, full)_scaled","NH_temperature_anomaly_(ºC,_no_volc)_scaled",Co2(ppm),Co2(ppm)_scaled
-32.28396285,-31.5865,-32.97,112,-0.227663547,0.094760645,-0.322424191,112,-0.13206088,0.569098732,0.630904542,0.606239739,244.4820212,0.538638113
-32.28671827,-31.573,-32.9635,113,-0.224867405,0.10024534,-0.325112745,113,-0.358978692,0.568872344,0.632217912,0.610001027,245.4052089,0.546596628
-32.28978328,-31.6265,-32.92,114,-0.22490256,0.110181553,-0.335084113,114,-0.975805255,0.568620518,0.6322014,0.616815072,246.2028771,0.553473079
-32.29325077,-31.69,-32.8735,115,-0.225641029,0.107167111,-0.332808139,115,-2.652513695,0.568335625,0.631854535,0.614747831,246.0371715,0.552044582
-32.29662539,-31.72,-32.837,116,-0.227935446,0.106095095,-0.334030541,116,-7.210279776,0.568058362,0.630776828,0.614012666,245.8353378,0.550304636
-32.30018576,-31.7465,-32.8435,117,-0.224719192,0.105668398,-0.33038759,117,-1.343551209,0.567765838,0.632287529,0.613720046,246.0782227,0.552398472
-32.30411765,-31.7665,-32.827,118,-0.228489273,0.098064867,-0.32655414,118,-3.65215084,0.567442789,0.630516691,0.608505705,245.509847,0.547498681
-32.30817337,-31.7695,-32.82,119,-0.228584763,0.096909013,-0.325493776,119,0,0.567109566,0.630471839,0.607713045,245.6347767,0.548575661
-32.31235294,-31.76,-32.8435,120,-0.231745903,0.097214024,-0.328959927,120,0,0.566766167,0.628987025,0.607922214,245.5817221,0.548118294
-32.31654799,-31.73,-32.897,121,-0.235959547,0.100340979,-0.336300525,121,0,0.566421497,0.627007843,0.610066614,245.5309016,0.547680186
-32.32139319,-31.683,-32.95,122,-0.242612105,0.099445258,-0.342057364,122,0,0.56602341,0.623883082,0.609452348,244.8357788,0.541687748
-32.32608359,-31.62,-33.02,123,-0.257459004,0.093976986,-0.35143599,123,0,0.56563804,0.616909372,0.605702322,243.30924,0.528527931
-32.29967492,-31.6395,-32.96,124,-0.274937765,0.095619998,-0.370557762,124,0,0.567807809,0.608699455,0.606829065,242.2068005,0.519024142
-32.25902477,-31.6365,-32.8335,125,-0.263164815,0.095346545,-0.35851136,125,0,0.571147675,0.614229306,0.606641536,242.943718,0.525376879
-32.21831269,-31.6565,-32.7535,126,-0.244460947,0.096920026,-0.341380973,126,0,0.574492629,0.623014665,0.607720597,244.1790212,0.536026045
